antiga;nova
QE-01-HVAC-SE-01;SPLITSE-1 - (QE-01-HVAC-SE-01)
SECCIONADORA2;SC-EXT2 - (SECCIONADORA2)
DISJUNTORDEENTRADA1;DJ-52-1 - (DISJUNTORDEENTRADA1)
DISJUNTORDEENTRADA2;DJ-52-2 - (DISJUNTORDEENTRADA2)
SECCIONADORA3;SC-EXT3 - (SECCIONADORA3)
SECCIONADORA4;SC-EXT4 - (SECCIONADORA4)
SECCIONADORA5;SC-EXT5 - (SECCIONADORA5)
SECCIONADORA6;SC-EXT6 - (SECCIONADORA6)
TRANSFORMADORDECORRENTE;CT-3 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-4 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-5 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-6 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-7 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-8 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-9 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDECORRENTE;CT-10 - (TRANSFORMADORDECORRENTE)
TRANSFORMADORDEPOTENCIAL;PT-3 - (TRANSFORMADORDEPOTENCIAL)
TRANSFORMADORDEPOTENCIAL;PT-4 - (TRANSFORMADORDEPOTENCIAL)
TRANSFORMADORDEPOTENCIAL;PT-5 - (TRANSFORMADORDEPOTENCIAL)
TRANSFORMADORDEPOTENCIAL;PT-6 - (TRANSFORMADORDEPOTENCIAL)
TRANSFORMADORDEPOTENCIAL;PT-7 - (TRANSFORMADORDEPOTENCIAL)
TRANSFORMADORDEPOTENCIAL;PT-8 - (TRANSFORMADORDEPOTENCIAL)
PAINEL 03 (BBSUB);BB-01-02 - (PAINEL 03 (BBSUB))
QDLF-1;LPP-1 - (QDLF-1)
QA-EXT01;AP-EXT-01 - (QA-EXT01)
HVACSE-01;PH-1S-1 - (HVACSE-01)
HVAC1-GA-1;FC-GA - (HVAC1-GA-1)
QA-EXT03;AP-EXT-03 - (QA-EXT03)
CPO008UPSPORT;UPS-PORT - (CPO008UPSPORT)
BCOBATUPSPORTARIA01;BB-UPSPORT01 - (BCOBATUPSPORTARIA01)
TRAFO-UPS-PORTARIA;TRAF-UPS15KVA-PORT - (TRAFO-UPS-PORTARIA)
VRV1-6;VRV1-6 - (VRV1-6)
VRV2-6;VRV2-6 - (VRV2-6)
VRV3-6;VRV3-6 - (VRV3-6)
VRV4-6;VRV4-6
VRV5-6;VRV5-6 - (VRV5-6)
VRV6-6;VRV6-6 - (VRV6-6)
QCA-TERR-01;CCP-FL00-1 - (QCA-TERR-01)
QCA-TERR-02;CCP-FL00-2 - (QCA-TERR-02)
QCA-1PAV-01;CCP-FL01-1 - (QCA-1PAV-01)
QCA-2PAV-01;CCP-FL02-1 - (QCA-2PAV-01)
BB-UPS-NOC-1;BB01-UPS-BMS1 - (BB-UPS-NOC-1)
BB-UPS-NOC-2;BB01-UPS-BMS2 - (BB-UPS-NOC-2)
BB-UPS-NOC-1;BB02-UPS-BMS1 - (BB-UPS-NOC-1)
BB-UPS-NOC-2;BB02-UPS-BMS2 - (BB-UPS-NOC-2)
QCA-3PAV-06;ACP-6 - (QCA-3PAV-06)
QCA-EMERGENCIA;EMERGENCY - (QCA-EMERGENCIA)
QCA-GER-TER;GENERAL - (QCA-GER-TER)
QSDAI-01;EP-FAS1 - (QSDAI-01)
QSDAI-BAT-01;EP-FAS-BAT1 - (QSDAI-BAT-01)
TRBMS-1;TRBMS1 - (TRBMS-1)
TRBMS-2;TRBMS2 - (TRBMS-2)
UPS-BMS-1;UPS1-BMS - (UPS-BMS-1)
UPS-BMS-2;UPS2-BMS - (UPS-BMS-2)
QE-VI1-UT-1;EP-VI1-UT1 - (QE-VI1-UT-1)
HVAC1-CR-1;CRAH1-CR1 - (HVAC1-CR-1)
HVAC1-CR-2;CRAH1-CR2 - (HVAC1-CR-2)
HVAC-1-UT-1;CRAH1-UT1 - (HVAC-1-UT-1)
HVAC-1-UT-2;CRAH1-UT2 - (HVAC-1-UT-2)
HVAC-1-UT-3;CRAH1-UT3 - (HVAC-1-UT-3)
HVAC-1-UT-4;CRAH1-UT4 - (HVAC-1-UT-4)
QE-HVAC1-CR-1;EP-CRAH1-CR1 - (QE-HVAC1-CR-1)
QE-HVAC1-CR-2;EP-CRAH1-CR2 - (QE-HVAC1-CR-2)
QE-HVAC1-UT-1;EP-CRAH1-UT1 - (QE-HVAC1-UT-1)
QE-HVAC1-UT-2;EP-CRAH1-UT2 - (QE-HVAC1-UT-2)
QE-HVAC1-UT-3;EP-CRAH1-UT3 - (QE-HVAC1-UT-3)
QE-HVAC1-UT-4;EP-CRAH1-UT4 - (QE-HVAC1-UT-4)
QE-EX1-GS-1;EP-EXT1-GS1 - (QE-EX1-GS-1)
QF-AC-FIBER A;EP-CRAH-F-A - (QF-AC-FIBER A)
QF-AR-COND1.1;EP-CRAH1-1 - (QF-AR-COND1.1)
HVAC2-CR-1;CRAH2-CR1 - (HVAC2-CR-1)
HVAC2-CR-2;CRAH2-CR2 - (HVAC2-CR-2)
HVAC-2-UT-1;CRAH2-UT1 - (HVAC-2-UT-1)
HVAC-2-UT-2;CRAH2-UT2 - (HVAC-2-UT-2)
HVAC-2-UT-3;CRAH2-UT3 - (HVAC-2-UT-3)
HVAC-2-UT-4;CRAH2-UT4 - (HVAC-2-UT-4)
HVAC-2-UT-5;CRAH2-UT5 - (HVAC-2-UT-5)
QE-VI2-UT-1;EP-FAN-UT2 - (QE-VI2-UT-1)
QE-HVAC2-CR-1;EP-CRAH2-CR1 - (QE-HVAC2-CR-1)
QE-HVAC2-CR-2;EP-CRAH2-CR2 - (QE-HVAC2-CR-2)
QE-HVAC2-UT-1;EP-CRAH2-UT1 - (QE-HVAC2-UT-1)
QE-HVAC2-UT-2;EP-CRAH2-UT2 - (QE-HVAC2-UT-2)
QE-HVAC2-UT-3;EP-CRAH2-UT3 - (QE-HVAC2-UT-3)
QE-HVAC2-UT-4;EP-CRAH2-UT4 - (QE-HVAC2-UT-4)
QE-HVAC2-UT-5;EP-CRAH2-UT5 - (QE-HVAC2-UT-5)
QE-EX2-GS-1;EP-EXT2-GS1 - (QE-EX2-GS-1)
QF-AC-FIBER B;EP-CRAH-F-B - (QF-AC-FIBER B)
QF-AR-COND2.1;EP-CRAH2-1 - (QF-AR-COND2.1)
QFA-GMG-A-1;EP-G-DCS-A1 - (QFA-GMG-A-1)
QF-RETIF.CROSS A;EP-RECT-CROSS-A - (QF-RETIF.CROSS A)
TR-FR-CCA;TRPA-DCS-1 - (TR-FR-CCA)
BB FCC-A 01;BB-DCS-1-1 - (BB FCC-A 01)
BB FCC-A 02;BB-DCS-1-2 - (BB FCC-A 02)
TR-FR-CCA;TR-DCS-1 - (TR-FR-CCA)
RETIFICADORCB-1;RECT-DCS-1 - (RETIFICADORCB-1)
ATS-RETIF-CCA;ATS-RECT-DCS-1 - (ATS-RETIF-CCA)
QG-CC-1A;EP-CC-1A - (QG-CC-1A)
QF-TA-PAINEIS;EP-TA-PANEL - (QF-TA-PAINEIS)
TR-FR-CCA;TR-DCS-1 - (TR-FR-CCA)
Painel1;BD-DCS-1 - (Painel1)
QFA-GMG-B-1;EP-G-DCS-2-B1 - (QFA-GMG-B-1)
QF-RETIF.CROSS B;EP-RECT-CROSS-B - (QF-RETIF.CROSS B)
QG-CC-1B;EP-CC-1B - (QG-CC-1B)
BB FCC-B 01;BB-DCS-2-1 - (BB FCC-B 01)
BB FCC-B 02;BB-DCS-2-2 - (BB FCC-B 02)
TR-FR-FCCB;TR-DCS-2 - (TR-FR-FCCB)
C03066FRCCB03;RECT-DCS-2 - (C03066FRCCB03)
PAINEL02;BD-DCS-2 - (PAINEL02)
TR-PA-20KVA;TR-PA-DCS-2 - (TR-PA-20KVA)
ATS-RETIF-CCB;ATS-RECT-DCS-2 - (ATS-RETIF-CCB)
QF-TB-PAINEIS;EP-TB-PANEL - (QF-TB-PAINEIS)
C0300TRPRD2;TRPRD-2 - (C0300TRPRD2)
HVAC1-1-5;CRAH1-1-5 - (HVAC1-1-5)
HVAC1-1-6;CRAH1-1-6 - (HVAC1-1-6)
BCO.CAP300KVAR;CB1-ER1-1 - (BCO.CAP300KVAR)
QA-01;AP-01 - (QA-01)
QE-EX1-1-5;EP-EX1-1-5 - (QE-EX1-1-5)
QE-EX1-1-6;EP-EX1-1-6 - (QE-EX1-1-6)
QE-HVAC1-1-5;EP-CRAH1-1-5 - (QE-HVAC1-1-5)
QE-HVAC1-1-6;EP-CRAH1-1-6 - (QE-HVAC1-1-6)
COD1-1-1+;DSE-EXT1-4-1 - (COD1-1-1+)
COD1-2-1+;DSE-EXT1-5-1 - (COD1-2-1+)
;DP1-1CRAH-ER1-1-S1
COD1-1-1;DSE-STS1-1-1 - (COD1-1-1)
COD1-2-1;DSE-STS1-1-2 - (COD1-2-1)
CS1-1;DSE-UPS1-1 - (CS1-1)
DS1-1;DSE-M1-1 - (DS1-1)
HVAC1-1-1;CRAH1-1-1 - (HVAC1-1-1)
HVAC1-1-2;CRAH1-1-2 - (HVAC1-1-2)
HVAC1-1-3;CRAH1-1-3 - (HVAC1-1-3)
HVAC1-1-4;CRAH1-1-4 - (HVAC1-1-4)
STS-1111;STS1-1-1-1 - (STS-1111)
STS-1121;STS1-1-1-2 - (STS-1121)
STS-1131;STS1-1-1-3 - (STS-1131)
STS-1141;STS1-1-1-4 - (STS-1141)
STS-1211;STS1-1-2-1 - (STS-1211)
STS-1221;STS1-1-2-2 - (STS-1221)
STS-1231;STS1-1-2-3 - (STS-1231)
STS-1241;STS1-1-2-4 - (STS-1241)
TR1-CS1;TR-ER1-1 - (TR1-CS1)
(++)DS1-1-2;GCP1-1-2 - ((++)DS1-1-2)
BD1-1-1;BB1-1-1-1 - (BD1-1-1)
BD1-2-1;BB1-1-1-2 - (BD1-2-1)
QF-EXT1-4;EP-EXT1-4 - (QF-EXT1-4)
(+)DS1-1-1;GCP1-1-1 - ((+)DS1-1-1)
;DP1-1-CRAH-ER1-2-S2
ICOM-1;COM-1 - (ICOM-1)
UPS-111;UPS1-1-1 - (UPS-111)
UPS-121;UPS1-1-2 - (UPS-121)
STS-1211;STS1-1-2-1 - (STS-1211)
;DP1-2CRAH-ER1-1-S2
Retificador1;RECT1-1-1-1 - (Retificador1)
Retificador2;RECT1-1-1-2 - (Retificador2)
PDB1-1-1;BDP1-1-1-1 - (PDB1-1-1)
PDB1-2-1;DP1-1-1-2 - (PDB1-2-1)
HVAC1-2-5;CRAH1-2-5 - (HVAC1-2-5)
BCO.CAP300KVAR;CB1-ER1-2 - (BCO.CAP300KVAR)
HVAC1-2-6;CRAH1-2-6 - (HVAC1-2-6)
QA-02;AP-02 - (QA-02)
QE-EX1-2-5;EP-EX1-2-5 - (QE-EX1-2-5)
QE-EX1-2-6;EP-EX1-2-6 - (QE-EX1-2-6)
QE-HVAC1-2-5;EP-CRAH1-2-5 - (QE-HVAC1-2-5)
QE-HVAC1-2-6;EP-CRAH1-2-6 - (QE-HVAC1-2-6)
COD1-2-2;DSE-STS1-2-2 - (COD1-2-2)
CS1-2;DSE-UPS1-2 - (CS1-2)
;DP1-1CRAH-ER1-2-S2
CS1-2;DSE-UPS1-2 - (CS1-2)
DS1-2;DSE-M1-2 - (DS1-2)
HVAC1-2-1;CRAH1-2-1 - (HVAC1-2-1)
HVAC1-2-2;CRAH1-2-2 - (HVAC1-2-2)
HVAC1-2-3;CRAH1-2-3 - (HVAC1-2-3)
HVAC1-2-4;CRAH1-2-4 - (HVAC1-2-4)
PDB1-1-2;BDP-1-2-1-2 - (PDB1-1-2)
PDB1-2-2;BDP-1-2-2-2 - (PDB1-2-2)
;DP1-2-CRAH-ER1-2-S1
STS-1112;STS1-2-1-1 - (STS-1112)
STS-1122;STS1-2-1-2 - (STS-1122)
STS-1132;STS1-2-1-3 - (STS-1132)
STS-1142;STS1-2-1-4 - (STS-1142)
STS-1212;STS1-2-2-1 - (STS-1212)
STS-1222;STS1-2-2-2 - (STS-1222)
STS-1232;STS1-2-2-3 - (STS-1232)
STS-1242;STS1-2-2-4 - (STS-1242)
TR1-CS2;TR-ER1-2 - (TR1-CS2)
UPS-112;UPS1-2-1 - (UPS-112)
UPS-122;UPS1-2-2 - (UPS-122)
DS1-2-1;GCP1-2-1 - (DS1-2-1)
DS1-2-2;GCP1-2-2 - (DS1-2-2)
QSDAI-04;QSDAI-04 - (QSDAI-04)
BD1-1-2;BD1-2-1-2 - (BD1-1-2)
ICOM-2;COM-2 - (ICOM-2)
BD1-2-2;BD1-2-2-2 - (BD1-2-2)
QF-EXT1-5;EP-EXT1-5 - (QF-EXT1-5)
Retificador1;RECT1-2-1-1 - (Retificador1)
Retificador2;RECT1-2-1-2 - (Retificador2)
BCO-CAP.300KVAR;CB1-ER1-3 - (BCO-CAP.300KVAR)
CRAH 1-3-6;CRAH1-3-6 - (CRAH 1-3-6)
HVAC-1-3-5;CRAH1-3-5 - (HVAC-1-3-5)
QA-03;AP-03 - (QA-03)
QE-CRAH1-3-5;EP-CRAH1-3-5 - (QE-CRAH1-3-5)
QE-CRAH1-3-6;EP-CRAH1-3-6 - (QE-CRAH1-3-6)
QE-EX1-3-5;EP-EX1-3-5 - (QE-EX1-3-5)
QE-EX1-3-6;EP-EX1-3-6 - (QE-EX1-3-6)
COD1-1-3+;DSE-EXT-1-3-1 - (COD1-1-3+)
;DP1-3-CRAH-ER1-3-S1
;DPC-1-CRAH-ER1-3-S2
COD1-1-3;DSE-STS1-3-1 - (COD1-1-3)
COD1-2-3;DSE-STS1-3-2 - (COD1-2-3)
CS1-3;DSE-UPS1-3 - (CS1-3)
QF-EXT1-6;EP-EXT1-6 - (QF-EXT1-6)
DS1-3;DSE-M1-3 - (DS1-3)
DS1-3-2;GCP1-3-2 - (DS1-3-2)
HVAC1-3-2;CRAH1-3-2 - (HVAC1-3-2)
HVAC1-3-3;CRAH1-3-3 - (HVAC1-3-3)
HVAC1-3-4;CRAH1-3-4 - (HVAC1-3-4)
HVAC1-3-1;CRAH1-3-1 - (HVAC1-3-1)
DS1-3-1;GCP1-3-1 - (DS1-3-1)
PDB-1-1-2;BDP-1-3-1-1 - (PDB-1-1-2)
PDB-1-2-3;BDP-1-3-1-2 - (PDB-1-2-3)
ICOM-3;ICOM-3 - (ICOM-3)
STS-1113;STS1-3-1-1 - (STS-1113)
STS-1123;STS1-3-1-2 - (STS-1123)
STS-1133;STS1-3-1-3 - (STS-1133)
STS-1143;STS1-3-1-4 - (STS-1143)
STS-1213;STS1-3-2-1 - (STS-1213)
STS-1223;STS1-3-2-2 - (STS-1223)
STS-1233;STS1-3-2-3 - (STS-1233)
STS-1243;STS1-3-2-4 - (STS-1243)
TR1-CS3;TR-ER1-3 - (TR1-CS3)
UPS-113;UPS1-3-1 - (UPS-113)
UPS-123;UPS1-3-2 - (UPS-123)
BD1-1-3;BD1-3-1-1 - (BD1-1-3)
Retificador1;RECT1-3-1-1 - (Retificador1)
